ELE# 1 : 0.250000 m
+0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 11 : 0.570000 m
+7.527973e-01 +9.161546e-02 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
-4.729509e+00 +7.527973e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.269414e+00 +1.088287e-01 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +5.618119e+00 +1.269414e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +9.954955e-02
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 12 : 0.570000 m
+1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+4.440892e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +2.220446e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 13 : 0.620000 m
+9.999999e-01 +4.999988e-02 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+4.440892e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 +5.000000e-02 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +2.220446e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +4.977470e-02
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 14 : 0.629000 m
+1.000000e+00 +8.999977e-03 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
-4.440892e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 +8.999995e-03 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +8.959500e-03
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 15 : 0.629000 m
+1.000000e+00 -2.220446e-16 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 -2.775558e-17 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +2.220446e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 16 : 0.629000 m
+1.000000e+00 -2.220446e-16 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 -2.775558e-17 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +2.220446e-16 +1.000000e+00 +0.000000e+00 +0.000000e+00
