ELE# 1 : 0.25 m
+6.363529e+000 +3.212726e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +3.570331e-001 +2.484359e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -5.246129e+000 -8.495767e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +4.678829e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 11 : 0.57 m
+1.899726e+000 +8.408074e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.177067e-001 +2.229098e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +5.674325e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 12 : 0.57 m
+1.899726e+000 +8.408074e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -1.177067e-001 +2.229098e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +5.674325e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 13 : 0.62 m
+1.725626e+000 +7.900713e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -3.503896e-001 +2.387737e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.172072e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 14 : 0.629 m
+1.694288e+000 +7.809388e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -3.922725e-001 +2.416292e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.261667e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 15 : 0.629 m
+1.694288e+000 +7.809388e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -3.922725e-001 +2.416292e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.261667e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 16 : 0.629 m
+1.694288e+000 +7.809388e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -3.922725e-001 +2.416292e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.261667e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 17 : 0.629 m
+1.694288e+000 +7.809388e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -3.922725e-001 +2.416292e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.261667e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 18 : 0.638 m
+1.662950e+000 +7.718063e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.341555e-001 +2.444847e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.351262e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 19 : 0.6784 m
+1.522277e+000 +7.308115e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -6.221632e-001 +2.573027e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -4.653658e+000 +3.172778e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +6.753442e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 20 : 0.6784 m
+1.522277e+000 +7.308115e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-3.482005e+000 -1.014723e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -6.221632e-001 +2.573027e-001 +0.000000e+000 +0.000000e+000 
